======================================================================
PILOT v3 CHECKPOINT (before decider) [after top-up]
======================================================================
working families (4): openai/gpt-4o-mini, anthropic/claude-3.5-haiku, google/gemini-2.5-flash-lite, meta-llama/llama-3.3-70b-instruct
USABLE (one verified GOOD fix): 85
usable by AUTHOR family: {'gpt-4o-mini': 34, 'claude-3.5-haiku': 19, 'gemini-2.5-flash-lite': 19, 'llama-3.3-70b-instruct': 13}
usable by FRESH  family: {'claude-3.5-haiku': 22, 'gemini-2.5-flash-lite': 23, 'llama-3.3-70b-instruct': 23, 'gpt-4o-mini': 17}

 idx   key mode    AUTHOR                 FRESH                  target
   1  1379 normal  gpt-4o-mini            claude-3.5-haiku       keywords:existence
   2  1436 normal  gpt-4o-mini            gemini-2.5-flash-lite  keywords:forbidden_words
   3  1508 normal  gpt-4o-mini            llama-3.3-70b-instruct keywords:existence
   4  1779 normal  gpt-4o-mini            claude-3.5-haiku       change_case:english_capital
   6  1897 normal  gpt-4o-mini            gemini-2.5-flash-lite  detectable_format:number_highlighted_sections
   8  2616 normal  gpt-4o-mini            llama-3.3-70b-instruct keywords:frequency
  10  3035 normal  gpt-4o-mini            claude-3.5-haiku       change_case:english_lowercase
  11  3069 normal  gpt-4o-mini            gemini-2.5-flash-lite  detectable_format:number_bullet_lists
  12  3245 normal  gpt-4o-mini            llama-3.3-70b-instruct detectable_content:number_placeholders
  13  3327 normal  gpt-4o-mini            claude-3.5-haiku       keywords:frequency
  14  1203 rushed  gpt-4o-mini            gemini-2.5-flash-lite  keywords:frequency
  15  1219 rushed  gpt-4o-mini            llama-3.3-70b-instruct keywords:frequency
  16  1233 rushed  gpt-4o-mini            claude-3.5-haiku       keywords:frequency
  17  1379 rushed  gpt-4o-mini            gemini-2.5-flash-lite  keywords:existence
  18  1825 rushed  gpt-4o-mini            llama-3.3-70b-instruct keywords:existence
  21  2616 rushed  gpt-4o-mini            claude-3.5-haiku       keywords:frequency
  22  2785 rushed  gpt-4o-mini            gemini-2.5-flash-lite  detectable_content:number_placeholders
  23  2908 rushed  gpt-4o-mini            llama-3.3-70b-instruct change_case:english_capital
  24  3069 rushed  gpt-4o-mini            claude-3.5-haiku       change_case:english_lowercase
  25  3345 rushed  gpt-4o-mini            gemini-2.5-flash-lite  keywords:frequency
  26  3456 rushed  gpt-4o-mini            llama-3.3-70b-instruct detectable_format:number_highlighted_sections
  27  1466 normal  claude-3.5-haiku       gpt-4o-mini            startend:quotation
  28  1571 normal  claude-3.5-haiku       gemini-2.5-flash-lite  change_case:english_lowercase
  29  2100 normal  claude-3.5-haiku       llama-3.3-70b-instruct change_case:english_lowercase
  30  2471 normal  claude-3.5-haiku       gpt-4o-mini            detectable_content:number_placeholders
  32  3069 normal  claude-3.5-haiku       gemini-2.5-flash-lite  detectable_format:number_bullet_lists
  35  3456 normal  claude-3.5-haiku       llama-3.3-70b-instruct change_case:english_capital
  36  1233 rushed  claude-3.5-haiku       gpt-4o-mini            startend:end_checker
  38  1571 rushed  claude-3.5-haiku       gemini-2.5-flash-lite  change_case:english_lowercase
  39  1713 rushed  claude-3.5-haiku       llama-3.3-70b-instruct detectable_format:number_highlighted_sections
  41  2785 rushed  claude-3.5-haiku       gpt-4o-mini            detectable_content:number_placeholders
  42  3069 rushed  claude-3.5-haiku       gemini-2.5-flash-lite  detectable_format:number_bullet_lists
  44  3327 rushed  claude-3.5-haiku       llama-3.3-70b-instruct keywords:frequency
  47  2100 normal  gemini-2.5-flash-lite  gpt-4o-mini            detectable_format:number_bullet_lists
  48   218 normal  gemini-2.5-flash-lite  claude-3.5-haiku       change_case:english_lowercase
  49  2422 normal  gemini-2.5-flash-lite  llama-3.3-70b-instruct change_case:english_capital
  50  2785 normal  gemini-2.5-flash-lite  gpt-4o-mini            detectable_content:number_placeholders
  53  3456 normal  gemini-2.5-flash-lite  claude-3.5-haiku       detectable_format:number_highlighted_sections
